Parameter,Perturbation,Peak_Year,Peak_Value,Change_%
GDP_growth,-20%,2026,11701.367556118274,-9.042985317406977
GDP_growth,+20%,2045,16178.842617036435,25.761302549265082
CI_decline,-20%,2045,16063.11147481561,24.861701784505858
CI_decline,+20%,2026,11712.828187214545,-8.953899594230087
Pop_growth,-20%,2045,12768.183656330406,-0.7504154767232395
Pop_growth,+20%,2045,12961.991314109582,0.7560892877563865
