Year,CO2_Mt
2026,11992.42714598507
2027,12016.502257542956
2028,12024.526283502877
2029,12016.467040867316
2030,11992.356853850299
2031,11952.292337895758
2032,11896.43375469537
2033,11825.003944231308
2034,11738.286843802776
2035,11636.625607809428
2036,11520.420345714389
2037,11390.125499051592
2038,11246.246881537108
2039,11089.338409255202
2040,10919.998550485428
2041,10738.866526989052
2042,10546.618300459022
2043,10343.96237933959
2044,10131.635482327598
2045,9910.398095570179
