Year,CO2_Mt
2026,12145.834206765561
2027,12335.57171340467
2028,12521.340527180533
2029,12702.873737418491
2030,12879.907572388933
2031,13052.182032794324
2032,13219.441523751357
2033,13381.43548313495
2034,13537.919004136134
2035,13688.653449879967
2036,13833.407057953926
2037,13971.955532710508
2038,14104.082623231145
2039,14229.580684871384
2040,14348.25122234984
2041,14459.905412395257
2042,14564.364604027523
2043,14661.460794618653
2044,14751.03707995917
2045,14832.948076642873
