Year,CO2_Mt
2026,11803.717651591942
2027,11634.048600317446
2028,11444.352044166115
2029,11235.691803281612
2030,11009.223816151924
2031,10766.185489232457
2032,10507.88446107851
2033,10235.686923376385
2034,9951.005644262983
2035,9655.287840008432
2036,9350.003039546767
2037,9036.631082559923
2038,8716.650385974935
2039,8391.526605983643
2040,8062.701813231366
2041,7731.584287865084
2042,7399.53902892367
2043,7067.879059348969
2044,6737.857593962741
2045,6410.661123360458
